Sample	Exp.Grp	Reactor	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57
35.0.1	0	1	0.073436851393590600	0.022429792473025800	0.015515420339130600	0.001527131261430830	0.001667097465424490	0.000532371454475888	0.039127010790519500	0.010585152460062200	0.002490232046053880	0.000520915887184740	0.014472338866511200	0.000836048129212134	0.030988767503846500	0.002939290283866870	0.004306460169304950	0.001205333962070410	0.009765142125057720	0.032515898765277300	0.018948757997808400	0.050398872438925700	0.004365820836177260	0.014246351766313100	0.016951115345273900	0.024870869721248600	0.000767939574590219	0.036866306656371900	0.000267018859404573	0.009474587281945880	0.004591599653333710	0.006697757770571650	0.051552343923623400	0.003639121303835180	0.016341054316259900	0.000245773989155535	0.063689621610115400	0.013306995248439000	0.030678842337860500	0.015641848145416600	0.024223942593861200	0.037760257471164800	0.002289030627812990	0.066970079516216800	0.052239677961092300	0.000239108931822504	0.000382615947524337	0.001187838186571200	0.065271947877585400	0.032362185880534300	0.001497971635598820	0.003790543075119990	0.000188287869658139	0.001405910531186320	0.020963063293675500	0.000823551146712700	0.031418247135743700	0.002732048657417930	0.005849837507985050
35.0.2	0	2	0.073640930517545200	0.022729317798200900	0.015525645817228800	0.001503555170325490	0.001601699550963300	0.000501603582918609	0.038936742703101300	0.010520282404700600	0.002499019602508980	0.000522529890090849	0.014323220207111800	0.000839981969893740	0.031101724034742700	0.002944331419134260	0.004323793587928370	0.001218329603567850	0.009853570258192960	0.032185078957049600	0.018871134544854900	0.050422355657657300	0.004414195234912450	0.014111236715457000	0.017077959283265600	0.024666466053135200	0.000769669577795012	0.036519544961635800	0.000263671470370232	0.009517703028078500	0.004485763205441510	0.006739107961748380	0.051767917208832400	0.003756690663560640	0.016434684600790900	0.000213239070085132	0.063835490765848400	0.013316246305983600	0.030379557174228700	0.015659364920059400	0.024054999357562400	0.037801909065150700	0.002267993171327440	0.066945558537786800	0.052180165460125500	0.000236676534118042	0.000370814163092105	0.001197194033323890	0.065506874919695300	0.032531409340750200	0.001537246524872800	0.003844999679827500	0.000183942240043995	0.001367115647562480	0.020772080288381300	0.000812777770569828	0.031707122101235600	0.002816471682311870	0.005871294003315560
35.0.3	0	3	0.073746736851820100	0.022462778686039000	0.015471730918823400	0.001494373541471650	0.001636312247023610	0.000489266220153731	0.039051066620960600	0.010643548854931600	0.002460545572006800	0.000542827995833718	0.014223329531820600	0.000906842063628093	0.030667824699724400	0.002897692064287320	0.004203363349901780	0.001187835379118490	0.009807573140664760	0.032320411486281600	0.018772372341687900	0.050667379724972600	0.004338297823249440	0.014276067280182500	0.016714158107769600	0.024601129576647700	0.000788182129813968	0.036638726647065800	0.000261010653025169	0.009466219824119610	0.004383413318918350	0.006682861550226110	0.052411021530185800	0.003652089074056980	0.016366006565849700	0.000224959457855947	0.063984691220483300	0.013337088151146400	0.030404135957915300	0.015435885730483700	0.024428495853494500	0.037466462088151100	0.002358366184555750	0.066694505056231600	0.052478591770274400	0.000247208195446095	0.000372666354634989	0.001190513467902490	0.065112578612206200	0.032821832109378100	0.001452142141416270	0.003839761295766480	0.000175723825596266	0.001376331628146140	0.020986533745566700	0.000812696942529039	0.032033855986393700	0.002712903938191360	0.005819074913971550
35.1.1	1	1	0.072766299225366600	0.020966281658451900	0.015627586474826900	0.001458138379992640	0.001549562347345200	0.000640178912270152	0.038853074716818000	0.010772826009844200	0.002747997540631940	0.000706477124160927	0.014207242298428100	0.000780165264128698	0.030974566823530200	0.002667975176598170	0.004191989486877180	0.001332087321079280	0.010031721794122500	0.032208473671586500	0.018564343892625600	0.050172755404360000	0.004161796352162590	0.013956407025414600	0.017009080743621000	0.023971237555361100	0.001019598933823410	0.036490831421805300	0.000305309599981082	0.009268658934972010	0.004538893824891640	0.006519816831131280	0.053610127664174600	0.003771185868092740	0.016781259818047300	0.000261392313123499	0.063468925141295400	0.013181520281340900	0.030201158065071900	0.015863008469279900	0.024691227690862800	0.037584329636398600	0.002513842390992230	0.065846370574066500	0.052379176787349100	0.000319667174530676	0.000591405386961971	0.001269167362023710	0.064225864917182100	0.034373300316542300	0.001627262162554770	0.003693486052883170	0.000172924317001733	0.001352356838090480	0.020491637135106500	0.000741948778930513	0.033548162061545000	0.003314488312934320	0.005663429737408410
35.1.2	1	2	0.072911781691789000	0.022758235900794600	0.016292494275958900	0.001533900650400570	0.001551697902326900	0.000494763603551975	0.038528825764013800	0.010021855025365500	0.002536775796449270	0.000534362489088060	0.014391747770226800	0.000719008977823734	0.030567447580419100	0.002874033720453220	0.004329848928027020	0.001194863001203980	0.010006282429930000	0.032486213803726600	0.018587894843157300	0.051186231334019700	0.004357212202863760	0.013925682235406000	0.016480477749430700	0.023564006481759200	0.000686973924356340	0.037744634351009900	0.000282531374330490	0.009302623581892720	0.004488911867118600	0.006479534495078610	0.052436488281844400	0.004022623866648750	0.017089588696609400	0.000249606458266779	0.063328628926407500	0.013229809685086500	0.030776120359255300	0.015718532901334700	0.025434275193567400	0.036899487350158300	0.002337224109225290	0.065912567440461500	0.053220679694848300	0.000222910580377284	0.000390204748484786	0.001255151192104430	0.065210020920669600	0.033367622705378100	0.001489852451882900	0.003867565309240600	0.000134146786394713	0.001352591146401080	0.020303772394504600	0.000780187031320494	0.031957857887163600	0.002567031124724030	0.005624599005667540
35.1.3	1	3	0.072619557570910900	0.022227007678467100	0.015733364928648800	0.001460364870785260	0.001691183062989200	0.000470750417708863	0.038964823858589200	0.010312634657192600	0.002518440550750430	0.000540483370174517	0.014102376876298600	0.000760067986449340	0.031232732351151400	0.002612336289176830	0.004068674028968640	0.001382577656332700	0.009779357731953740	0.031882584120937700	0.018650703402014300	0.050196280245078500	0.004260916545340510	0.014310304008118700	0.017343369508980400	0.024454646980637300	0.000720856447828836	0.036131631227560700	0.000326197610470032	0.009332982054468430	0.004501272679371060	0.006756889944232710	0.052931126098161500	0.003670200014879190	0.016559562645095900	0.000231454054992381	0.065434520015794800	0.013348031654945200	0.030477751267009600	0.015518231351893000	0.024779784819793300	0.037623577283505100	0.002420941589856210	0.066242489665640000	0.052465674537023000	0.000208351040345706	0.000478592725432964	0.001187791688807060	0.064942786126067400	0.033622728618636800	0.001466299590144040	0.003565070700523680	0.000153666840539814	0.001346969340180020	0.020415010685674200	0.000817719545934622	0.032335530380570200	0.002536668617352400	0.005874100439614340
35.2.1	2	1	0.072289879582244200	0.020778805525069900	0.015634461970617300	0.001526849309027010	0.001401113766706080	0.000682322049222178	0.038957026856942200	0.010861388120387200	0.002829155718698420	0.000784521933536998	0.014157440406017700	0.000742539408445018	0.030820686274343500	0.002634933531909260	0.004183410202347290	0.001363159867759290	0.010115668217617100	0.031882971378943600	0.018359509508405800	0.049993554198167700	0.004081210318032470	0.014145142494627100	0.016936768380288700	0.023977746717305800	0.001125682958148090	0.036512286885676900	0.000288364818813599	0.009402813422873440	0.004653699296559470	0.006446649964124020	0.053981257983040800	0.003630640288636220	0.016566982906751300	0.000244473997126529	0.063896343025218300	0.012929345530599700	0.030160839718352400	0.015835893277876800	0.024421531692141700	0.037830071701064100	0.002348052943780730	0.066095548834582100	0.052064904135660400	0.000348158112126419	0.000618500129764169	0.001302730475581440	0.064100318727938000	0.034823868464932300	0.001634137984262070	0.003685980889893830	0.000173018891288160	0.001443308324753070	0.020413048677677700	0.000705221608363258	0.034216606081783700	0.003356057611898270	0.005603394902049260
35.2.2	2	2	0.072273667469125600	0.021198169698339200	0.016154628334043100	0.001516125948393490	0.001407489809930210	0.000650947741671954	0.038937364748007600	0.010488167351798600	0.002829536862414500	0.000668981340656858	0.014179840609057600	0.000670284974318417	0.030411166056855800	0.002663758115119540	0.004336754647454000	0.001310369102144040	0.010093600896900000	0.032089594396113400	0.018394922781432800	0.050512762573546700	0.004121220548742860	0.014362349321676000	0.016743001659960200	0.023606198343516200	0.000966427087769309	0.037042533220931100	0.000320042063912813	0.009388117813719440	0.004554896013488260	0.006362818629794110	0.053953703623232500	0.003668642395904850	0.016844685085561800	0.000240303138280768	0.063560180075263100	0.013003528501777300	0.030290362670884600	0.015957996923424600	0.024573494520393200	0.037319989918566400	0.002382607788776580	0.065615358542711400	0.052461912169854800	0.000317652068866621	0.000519063469577536	0.001326881795190460	0.064523130806601600	0.034814840565603200	0.001584566715625350	0.003606285252426930	0.000174469638372022	0.001407489809930210	0.020271720709524300	0.000713739429703727	0.033964436873712700	0.003105038109557370	0.005542181239842520
35.2.3	2	3	0.072561258541236300	0.021738439535992400	0.015674982785105100	0.001445415541077390	0.001580592192383070	0.000570792944541554	0.038842735314370500	0.010316224376291100	0.002586365803273480	0.000645796917209598	0.014189734625774700	0.000752794109857514	0.030335505058530600	0.002751416918268980	0.004146194184013980	0.001304941999046560	0.009943323269240960	0.032142168547062900	0.018426399703374100	0.050832989035436200	0.004285820223528790	0.014164945177181000	0.016979077281635700	0.024078393982732100	0.000915514592933948	0.036318449070395700	0.000307855288945389	0.009359182160072040	0.004476296414004980	0.006445256634355630	0.053667673075904400	0.003504634779384500	0.016633296255098300	0.000260607023677102	0.064544520366544800	0.013041580592192400	0.030390168970814100	0.015630912654271900	0.025111923301022300	0.037132051485777800	0.002476614227448490	0.065752635203135800	0.052961279728799200	0.000272260183272419	0.000514010275968007	0.001236082419619680	0.065405371047195300	0.034022776630118100	0.001553260236241330	0.003608453837597330	0.000144711054610943	0.001345833995444670	0.020382859261613400	0.000764447269452831	0.033069124423963100	0.002832353408549180	0.005621696064410190
35.3.1	3	1	0.072551448231854000	0.021379933596421400	0.015773309148733200	0.001517026235101860	0.001451589242158360	0.000674899182123127	0.038677967450014500	0.010626882115471100	0.002668375156695940	0.000764714662633809	0.014239602895822200	0.000693503817371768	0.030383507824853000	0.002752416784888070	0.004195238325377540	0.001293770612118160	0.010002236833157500	0.032267280605373400	0.018333691882434100	0.050707681832509500	0.004175992150982390	0.013922254864684400	0.016702043986490000	0.023764748450362200	0.001068590371694950	0.037070270348873300	0.000264314128360008	0.009470614727087110	0.004451853983979480	0.006505634638323750	0.053779371265974900	0.003656345442313440	0.016889373417269500	0.000263886435595671	0.063273509095100500	0.013118620160496000	0.030195109162162700	0.015910598526085200	0.024846811144133700	0.037227447439767000	0.002413042576387000	0.065793902555336000	0.052742216312458700	0.000329323428539168	0.000553006744287201	0.001255919802474370	0.064507188873829300	0.034492566058216700	0.001581393996134510	0.003557976106516030	0.000161881711301396	0.001395775336412440	0.020429386427683400	0.000726650006607853	0.033756720657175600	0.003107615625669610	0.005682967606122340
